category,keyword,url
Health and Safety,COVID-19,https://www.instagram.com/explore/search/keyword/?q=COVID-19+funny
Health and Safety,vaccine,https://www.instagram.com/explore/search/keyword/?q=vaccine+funny
Health and Safety,mask mandate,https://www.instagram.com/explore/search/keyword/?q=mask+mandate+funny
Health and Safety,mental health,https://www.instagram.com/explore/search/keyword/?q=mental+health+funny
Health and Safety,self-harm,https://www.instagram.com/explore/search/keyword/?q=self-harm+funny
Health and Safety,pandemic,https://www.instagram.com/explore/search/keyword/?q=pandemic+funny
Health and Safety,health misinformation,https://www.instagram.com/explore/search/keyword/?q=health+misinformation+funny
Health and Safety,lockdown,https://www.instagram.com/explore/search/keyword/?q=lockdown+funny
Health and Safety,isolation,https://www.instagram.com/explore/search/keyword/?q=isolation+funny
Health and Safety,body image,https://www.instagram.com/explore/search/keyword/?q=body+image+funny
Politics and Society,US election,https://www.instagram.com/explore/search/keyword/?q=US+election+funny
Politics and Society,voting,https://www.instagram.com/explore/search/keyword/?q=voting+funny
Politics and Society,political polarization,https://www.instagram.com/explore/search/keyword/?q=political+polarization+funny
Politics and Society,campaign,https://www.instagram.com/explore/search/keyword/?q=campaign+funny
Politics and Society,censorship,https://www.instagram.com/explore/search/keyword/?q=censorship+funny
Politics and Society,freedom of speech,https://www.instagram.com/explore/search/keyword/?q=freedom+of+speech+funny
Politics and Society,work from home,https://www.instagram.com/explore/search/keyword/?q=work+from+home+funny
Politics and Society,remote work burnout,https://www.instagram.com/explore/search/keyword/?q=remote+work+burnout+funny
Politics and Society,civil rights,https://www.instagram.com/explore/search/keyword/?q=civil+rights+funny
Politics and Society,government corruption,https://www.instagram.com/explore/search/keyword/?q=government+corruption+funny
Conflict and Global Events,Russia Ukraine,https://www.instagram.com/explore/search/keyword/?q=Russia+Ukraine+funny
Conflict and Global Events,war,https://www.instagram.com/explore/search/keyword/?q=war+funny
Conflict and Global Events,refugees,https://www.instagram.com/explore/search/keyword/?q=refugees+funny
Conflict and Global Events,migration crisis,https://www.instagram.com/explore/search/keyword/?q=migration+crisis+funny
Conflict and Global Events,propaganda,https://www.instagram.com/explore/search/keyword/?q=propaganda+funny
Conflict and Global Events,sanctions,https://www.instagram.com/explore/search/keyword/?q=sanctions+funny
Conflict and Global Events,natural disaster,https://www.instagram.com/explore/search/keyword/?q=natural+disaster+funny
Conflict and Global Events,climate refugee,https://www.instagram.com/explore/search/keyword/?q=climate+refugee+funny
Conflict and Global Events,peace negotiations,https://www.instagram.com/explore/search/keyword/?q=peace+negotiations+funny
Conflict and Global Events,armed conflict,https://www.instagram.com/explore/search/keyword/?q=armed+conflict+funny
Environmental and Ethical Issues,climate change,https://www.instagram.com/explore/search/keyword/?q=climate+change+funny
Environmental and Ethical Issues,global warming,https://www.instagram.com/explore/search/keyword/?q=global+warming+funny
Environmental and Ethical Issues,sustainability,https://www.instagram.com/explore/search/keyword/?q=sustainability+funny
Environmental and Ethical Issues,animal rights,https://www.instagram.com/explore/search/keyword/?q=animal+rights+funny
Environmental and Ethical Issues,eco-activism,https://www.instagram.com/explore/search/keyword/?q=eco-activism+funny
Environmental and Ethical Issues,wealth inequality,https://www.instagram.com/explore/search/keyword/?q=wealth+inequality+funny
Environmental and Ethical Issues,clean energy,https://www.instagram.com/explore/search/keyword/?q=clean+energy+funny
Environmental and Ethical Issues,deforestation,https://www.instagram.com/explore/search/keyword/?q=deforestation+funny
Environmental and Ethical Issues,carbon footprint,https://www.instagram.com/explore/search/keyword/?q=carbon+footprint+funny
Environmental and Ethical Issues,environmental justice,https://www.instagram.com/explore/search/keyword/?q=environmental+justice+funny
